domain,id,clientId,business,placementType,apiAvailability
Недорогая-мебель.РФ,21621656,32157024,"{'id': 892689, 'name': 'Недорогая-мебель'}",FBY,AVAILABLE
Недорогая-мебель.рф Крупногабаритные товары,22303110,32157024,"{'id': 892689, 'name': 'Недорогая-мебель'}",FBS,DISABLED_BY_INACTIVITY
Мебель на складе Основной ,22407653,32157024,"{'id': 892689, 'name': 'Недорогая-мебель'}",DBS,AVAILABLE
Мебель под заказ МИФ,22439129,32157024,"{'id': 892689, 'name': 'Недорогая-мебель'}",DBS,AVAILABLE
FBS Фанера ПВЗ,52669996,32157024,"{'id': 892689, 'name': 'Недорогая-мебель'}",FBS,AVAILABLE
Диваны под заказ,109697781,303325245,"{'id': 892689, 'name': 'Недорогая-мебель'}",DBS,AVAILABLE
